코인명(영어),약자,트위터1(오피셜),트위터2(대표),트위터3,트위터4,트위터5
Bitcoin,BTC,,,,,
Ripple,XRP,https://twitter.com/ripple,https://twitter.com/bgarlinghouse,https://twitter.com/JoelKatz,,
BitcoinCash,BCC,,https://twitter.com/jihanwu,,,
Ada,ADA,https://twitter.com/cardanostiftung,,,,
Qtum,QTUM,https://twitter.com/qtumofficial,,,,
Komodo,KMD,https://twitter.com/komodoplatform,,,,
StatusNetworkToken,SNT,,,,,
StellarLumens,KLM,https://twitter.com/stellarlumens,,,,
EthereumClassic,ETC,,,,,
Ethereum,ETH,,,,,
BitcoinGold,BTG,,,,,
Einsteinium,EMC2,,,,,
Ardor,ARDR,,,,,
Stratis,STRAT,,,,,
PowerLedger,POWR,,,,,
NewEconomyMovement,XEM,,,,,
Metal,MTL,,,,,
Groestlcoin,GRS,,,,,
SteemDollars,SBD,,,,,
Augur,REP,,,,,
Neo,NEO,,,,,
Mercury,MER,,,,,
Monero,XMR,,,,,
Vertcoin,VTC,,,,,
Ark,ARK,,,,,
Litecoin,LTC,,,,,
Blocktix,TIX,,,,,
Waves,WAVES,,,,,
OmiseGO,OMG,,,,,
Pivx,PIVX,,,,,
Lisk,LSK,,,,,
Steem,STEEM,,,,,
Zcash,ZEC,,,,,
Storj,STORJ,,,,,
Dash,DASH,,,,,
Nxt,NXT,,,,,
Verge,XVG,,,,,
ReddCoin,RDD,,,,,
Dogecoin,DOGE,,,,,
Siacoin,SC,,,,,
Digibyte,DGB,,,,,
Monaco,MCO,,,,,
BitBay,BAY,,,,,
TenXPayToken,PAY,,,,,
SysCoin,SYS,,,,,
ZCoin,XZC,,,,,
Golem,GNT,,,,,
BitBean,BITB,,,,,
NavCoin,NAV,,,,,
Edgeless,EDG,,,,,
Civic,CVC,,,,,
Salt,SALT,,,,,
Voxels,VOX,,,,,
AdEx,ADX,,,,,
InternetOfPeople,IOP,,,,,
Decentraland,MANA,,,,,
DigitalNote,XDN,,,,,
Humaniq,HMQ,,,,,
LBRYCredits,LBC,,,,,
FunFair,FUN,,,,,
FirstBlood,1ST,,,,,
RipioCreditNetwork,RCN,,,,,
BasicAttentionToken,BAT,,,,,
Bytes,GBYTE,,,,,
OKCash,OK,,,,,
Zencash,ZEN,,,,,
Rise,RISE,,,,,
BURSTCoin,BURST,,,,,
MonaCoin,MONA,,,,,
Nubits,NBT,,,,,
Ubiq,UBQ,,,,,
Patientory,PTOY,,,,,
GameCredits,GAME,,,,,
QuantumResistLedger,QRL,,,,,
Viberate,VIB,,,,,
Guppy,GUP,,,,,
UnbreakableCoin,UNB,,,,,
Elastic,XEL,,,,,
SteemDollars,SBD,,,,,
Decred,DCR,,,,,
Factom,FCT,,,,,
Nexus,NXS,,,,,
CofoundIt,CFI,,,,,
CloakCoin,CLOAK,,,,,
Memetic,MEME,,,,,
Numeraire,NMR,,,,,
AMP,AMP,,,,,
Mysterium,MYST,,,,,
ViaCoin,VIA,,,,,
Shift,SHIFT,,,,,
ExclusiveCoin,EXCL,,,,,
Expanse,EXP,,,,,
MaidSafe,MAID,,,,,
Radium,RADS,,,,,
DigixDAO,DGD,,,,,
Decentraland,DCT,,,,,
WingsDAO,WINGS,,,,,
IExec,RLC,,,,,
Gnosis,GNO,,,,,
Dynamic,DYN,,,,,
TransferCoin,TX,,,,,
BlackCoin,BLK,,,,,
VeriCoin,VRC,,,,,
Aragon,ANT,,,,,
MonetaryUit,MUE,,,,,
Bancor,BNT,,,,,
BlockNet,BLOCK,,,,,
AdToken,ADT,,,,,
Sydicate,SYNX,,,,,
Kore,KORE,,,,,
Ion,ION,,,,,
Feathercoin,FTC,,,,,
Particl,PART,,,,,
SwarmCityToken,SWT,,,,,
BitSend,BSD,,,,,
SingularDTV,SNGLS,,,,,
SiberianChervonets,SIB,,,,,
Sphere,SPHR,,,,,
SaluS,SLS,,,,,
IDNIAgoras,AGRS,,,,,
Xaurum,XAUR,,,,,
KoreanNewsData,,,,,,
